CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 9 is empty
cpus=10
      lazy_alloc-31612 [004] 34326.485504: funcgraph_entry:        0.080 us   |              __rcu_read_lock();
      lazy_alloc-31612 [004] 34326.485504: funcgraph_entry:        0.079 us   |              __rcu_read_unlock();
      lazy_alloc-31612 [004] 34326.485504: funcgraph_entry:        0.081 us   |              __mod_node_page_state();
      lazy_alloc-31612 [004] 34326.485505: funcgraph_exit:         0.609 us   |            }
      lazy_alloc-31612 [004] 34326.485505: funcgraph_exit:         2.786 us   |          }
      lazy_alloc-31612 [004] 34326.485505: funcgraph_entry:                   |          pmd_install() {
      lazy_alloc-31612 [004] 34326.485505: funcgraph_entry:        0.094 us   |            _raw_spin_lock();
      lazy_alloc-31612 [004] 34326.485505: funcgraph_entry:        0.092 us   |            _raw_spin_unlock();
      lazy_alloc-31612 [004] 34326.485505: funcgraph_exit:         0.460 us   |          }
      lazy_alloc-31612 [004] 34326.485505: funcgraph_exit:         3.535 us   |        }
      lazy_alloc-31612 [004] 34326.485506: funcgraph_entry:                   |        __vmf_anon_prepare() {
      lazy_alloc-31612 [004] 34326.485506: funcgraph_entry:                   |          __anon_vma_prepare() {
      lazy_alloc-31612 [004] 34326.485506: funcgraph_entry:                   |            kmem_cache_alloc_noprof() {
      lazy_alloc-31612 [004] 34326.485506: funcgraph_entry:        0.087 us   |              __memcg_slab_post_alloc_hook();
      lazy_alloc-31612 [004] 34326.485506: funcgraph_exit:         0.521 us   |            }
      lazy_alloc-31612 [004] 34326.485506: funcgraph_entry:        0.601 us   |            find_mergeable_anon_vma();
      lazy_alloc-31612 [004] 34326.485507: funcgraph_entry:                   |            kmem_cache_alloc_noprof() {
      lazy_alloc-31612 [004] 34326.485508: funcgraph_entry:                   |              __memcg_slab_post_alloc_hook() {
      lazy_alloc-31612 [004] 34326.485509: funcgraph_entry:                   |                arch_irq_work_raise() {
      lazy_alloc-31612 [004] 34326.485509: funcgraph_entry:                   |                  hv_send_ipi_self() {
      lazy_alloc-31612 [004] 34326.485509: funcgraph_entry:                   |                    __send_ipi_one() {
